,with_corona,without_corona,reduction
2020-04-22,23098.01734790012,29953.252824037616,6855.235476137495
2020-04-23,23098.569847485323,30045.22567660762,6946.655829122297
2020-04-24,23348.06325880107,30088.99967549757,6740.936416696499
2020-04-25,23965.315929224646,30038.217782401494,6072.901853176849
2020-04-26,24378.236508171245,29952.72071664782,5574.484208476573
2020-04-27,24633.745045435735,29810.01418979482,5176.269144359085
2020-04-28,24725.62427639641,29853.145393168506,5127.521116772095
2020-04-29,24797.595262812385,29907.15012935168,5109.554866539296
2020-04-30,25136.44755959831,29750.600917510128,4614.153357911819
2020-05-01,24966.48100577339,29575.694765542103,4609.213759768714
2020-05-02,24376.420397993854,29416.736005243685,5040.315607249831
2020-05-03,24004.98110327851,29256.047842709682,5251.066739431171
2020-05-04,23681.12799974441,29113.723676536516,5432.595676792105
2020-05-05,23330.788459271123,28902.87782105026,5572.089361779137
2020-05-06,23049.25374126719,28636.5858984953,5587.332157228109
2020-05-07,22718.732764165954,28477.143926701046,5758.411162535092
2020-05-08,22723.128391327522,28369.925252677942,5646.79686135042
2020-05-09,22909.978760578255,28273.295424599026,5363.316664020771
2020-05-10,23141.15218017975,28197.963342128973,5056.811161949223
2020-05-11,23303.350707753038,28168.97064851842,4865.619940765384
2020-05-12,23560.8762319074,28185.464945920197,4624.588714012796
2020-05-13,23693.213711650173,28318.399049753654,4625.185338103482
2020-05-14,23555.499620271443,28384.85922683087,4829.359606559428
2020-05-15,23442.435718350684,28406.909343826548,4964.4736254758645
2020-05-16,23264.72650807106,28405.45088408262,5140.72437601156
2020-05-17,22988.63460341605,28328.90424272765,5340.269639311602
2020-05-18,22815.423283408712,28140.067089959088,5324.643806550375
2020-05-19,22597.589968879434,27934.94239046861,5337.352421589174
2020-05-20,22511.57986075362,27580.515568885046,5068.9357081314265
2020-05-21,22543.220720407535,27284.254711250298,4741.033990842763
2020-05-22,22178.012230591117,26956.388084993192,4778.375854402075
2020-05-23,22101.284503414874,26813.702029726737,4712.417526311863
2020-05-24,22164.769003961817,26851.99164501229,4687.222641050474
2020-05-25,22107.733677971602,26893.10022887352,4785.366550901919
2020-05-26,21989.12029366206,26752.08790866451,4762.96761500245
